name,url,rating,address,description,equipments,payment_methods,opening_hours
Brasserie du Conservatoire et Bar à vins,https://avignon-tourisme.com/offres/brasserie-du-conservatoire-et-bar-a-vins-avignon-fr-4143538/,,"17/19, rue Saint-Jean le Vieux -  Place Pie, 84000 Avignon","Au coeur du centre historique, sur la Place Pie, face aux halles, ce restaurant bar vous accueille dans une ambiance cosy. Il dispose d'une grande terrasse où vous pourrez vous restaurer ou déguster un verre de vin à l'ombre de ses platanes centenaires.","Accessible en fauteuil roulant en autonomie,Personnel d’accueil sensibilisé à l’accueil des personnes en situation de handicap,Retransmission d’événement sportif,Terrasse,Climatisation,Chaise bébé,Terrasse couverte,Terrasse ombragée,Accès Internet Wifi,Restauration,Restauration enfants,Salon de thé / Coffee shop","Carte bancaire/crédit,Chèque-Vacances Classic,Espèces,Titre Restaurant",Toute l'année 2025 - Ouvert tous les jours
LE BISTRO'NOMIC,https://avignon-tourisme.com/offres/le-bistronomic-avignon-fr-4144013/,,"Sarl Coludis, 36 Cours Jean Jaurès, 84000 Avignon","Brasserie méditerranéenne, avec terrasse sous platanes, offrant le meilleur de la cuisine du SUD dans une ambiance chaleureuse en plein cœur d’AVIGNON . A déguster: Tapas et Mezze, pastas et pizzas gourmandes, grillades à la braise et plats méridionaux","Accessible en fauteuil roulant en autonomie,Animation,Bar,Terrasse,Chaise bébé,Terrasse ombragée,Animaux acceptés,Accès Internet Wifi,Restauration,Restauration enfants,Bar,Hébergement à proximité","Carte bancaire/crédit,Chèque-Vacances Classic,Espèces,Titre Restaurant",Toute l'année 2025 - Ouvert tous les jours
Hôtel d'Europe,https://avignon-tourisme.com/offres/hotel-deurope-avignon-fr-4143430/,,"12, place Crillon, 84000 Avignon","Notre Hôtel ***** vous accueille dans un cadre élégant et raffiné, empreint d'histoire.","Accessible en fauteuil roulant en autonomie,Une chambre PMR,Alarme visuelle avec flash lumineux,Boucle magnétique disponible à l’accueil,Climatisation,Lit 160 cm,Lit bébé,Coffre privatif,Lit 180 cm,Matériel Bébé,Baignoire,Restaurant","Carte bancaire/crédit,Espèces",Du 15 mars 2025 au 31 décembre 2025 - Ouvert tous les jours
Grand Café Barretta / Restaurant et Bar à Vin,https://avignon-tourisme.com/offres/grand-cafe-barretta-restaurant-et-bar-a-vin-avignon-fr-4143535/,,"14 Place Saint Didier, 84000 Avignon","Créé en 1773, c’est le plus ancien Café de la ville. Il eut Napoléon Bonaparte comme client, connut les grandes heures de l'histoire et reçut Frédéric Mistral à sa table pour renaître en 2018. Un nouveau lieu de détente et de rencontres.","Accessible en fauteuil roulant en autonomie,Animations de soirées,Terrasse,Climatisation,Salle de réception,Chaise bébé,Terrasse ombragée,Wifi dans la salle,Animaux acceptés,Accès Internet Wifi,Restauration","Carte bancaire/crédit,Chèque,Espèces,Titre Restaurant",Toute l'année 2025 - Ouvert tous les jours
Hôtel Mercure Avignon Gare TGV,https://avignon-tourisme.com/offres/hotel-mercure-avignon-gare-tgv-avignon-fr-4143656/,,"2 Rue Mère Térésa, 84000 Avignon","Avec 113 chambres et suites, spa, restaurant bistronomique locavore et salles de séminaire, cet hôtel vous plonge dans l’ambiance théâtrale d’Avignon. Un véritable lieu de vie pour une expérience unique alliant confort, gastronomie et bien-être.",Piscine,"Chèque,Carte bancaire/crédit,Chèque-Vacances Classic",Toute l'année 2025 - Ouvert tous les jours
Best Western Plus Le Lavarin,https://avignon-tourisme.com/offres/best-western-plus-le-lavarin-avignon-fr-4143157/,,"1715, chemin du Lavarin, 84000 Avignon","Hôtel de 51 chambres avec espace bien-être, piscine, jardin et restaurant. Idéal pour un séjour détente ou affaires, il offre un cadre paisible près des remparts, à 10 min du centre, avec un accès facile à la gare TGV et aux sites touristiques.",Piscine,"Carte bancaire/crédit,Espèces,Chèque-Vacances Classic",Toute l'année 2025 - Ouvert tous les jours
Hôtel de Cambis,https://avignon-tourisme.com/offres/hotel-de-cambis-avignon-fr-4143427/,,"89 rue Joseph Vernet, 84000 Avignon",L’hôtel de Cambis 4 étoiles aux 41 chambres est situé dans le centre historique d’Avignon. La décoration raffinée à pour thématique les couleurs du vin pour un rendu élégant et moderne.  Sur place profitez du bar l’Orsan et des deux salles de séminaire.,"Matériel Bébé,Coffre privatif,Lit bébé,Ascenseur,Bar,Climatisation,Salle de réunion,Paper board,Visioconférence,Ecran,Wifi dans la salle,Tables",Carte bancaire/crédit,Toute l'année 2025 - Ouvert tous les jours
Hôtel Restaurant Novotel Avignon Centre,https://avignon-tourisme.com/offres/hotel-restaurant-novotel-avignon-centre-avignon-fr-4143323/,,"20, Boulevard Saint-Roch, 84000 Avignon","Profitez d'un séjour au Novotel Avignon Centre,  un hôtel 4 étoiles moderne à la décoration raffinée de 130 chambres dont 9 suites, piscine au cœur du patio ! L'hôtel dispose de 14 salles de réunion toutes équipés et d'un parking privé sur place.",Piscine,"Carte bancaire/crédit,Titre Restaurant,Espèces,Paiement en ligne,Virement,Union Pay",Toute l'année 2025 - Ouvert tous les jours
Le Baryum 56,https://avignon-tourisme.com/offres/le-baryum-56-avignon-fr-4143749/,,"21 rue des Trois Faucons, 84000 Avignon","Le Baryum 56, un bar à cocktails niché au coeur du centre ville. Un lieu agréable où on l’on peut boire de bons breuvages et manger avec plaisir, échanger, toujours avec le sourire ! Le tout avec des produits de qualité, le maximum français et équitables.","Accessible en fauteuil roulant en autonomie,Terrasse,Accès Internet Wifi,Réservation de prestations,Animaux non acceptés",Carte bancaire/crédit,Lundi
La Mirande - Hôtel,https://avignon-tourisme.com/offres/la-mirande-hotel-avignon-fr-4143103/,,"4, Place de L'Amirande, 84000 Avignon","La Mirande, hôtel de luxe 5 étoiles au pied du Palais des Papes à Avignon, en Provence : 26 chambres et suites, Restaurant gastronomique étoilé, Ecole de cuisine, Table Haute, Bar & Salon de thé.","Accessible en fauteuil roulant en autonomie,Climatisation,Lit bébé,Coffre privatif,Douche à l'italienne,Matériel Bébé,Baignoire,Non fumeur,Restaurant,Jardin,Salle de réunion,Parking","Chèque,Carte bancaire/crédit,Espèces,Apple Pay,Virement",Toute l'année 2025 - Ouvert tous les jours
Hôtel Central,https://avignon-tourisme.com/offres/hotel-central-avignon-fr-4143252/,,"31 rue de la République, 84000 Avignon","Au cœur de la Cité des Papes, très bien situé, l’Hôtel Central est apprécié pour le charme de ses bâtiments anciens et de ses 37 chambres à la décoration soignée. Une cour intérieure, un rooftop et un bar attenant à l'hôtel accueillent les clients.","Accessible en fauteuil roulant en autonomie,Matériel Bébé,Coffre privatif,Lit bébé,Chambre familiale,Ascenseur,Bar,Terrasse,Climatisation,Accueil nuit,Petit déjeuner,Blanchisserie","Carte bancaire/crédit,Chèque-Vacances Classic",Toute l'année 2025 - Ouvert tous les jours
Restaurant / Cocktail Bar   Le Bercail,https://avignon-tourisme.com/offres/restaurant-cocktail-bar-le-bercail-avignon-fr-4143886/,,"162, Chemin des Canotiers, Ile de la Barthelasse, 84000 Avignon","Sur l'île de la Barthelasse, terrasse ombragée au bord du Rhône avec vue exceptionnelle sur le Pont d'Avignon, les remparts et le Rocher des Doms.","Accessible en fauteuil roulant en autonomie,Table à langer,Chaise bébé,Parking gratuit,Parking privé,Parking autocar,Parking,Terrasse ombragée,Bar,Terrasse,Aire de jeux,Salle de réception","Chèque,Carte bancaire/crédit,Titre Restaurant,Chèque-Vacances Classic",Toute l'année 2025 - Ouvert tous les jours
Restaurant Le Moutardier du Pape et bar à vins,https://avignon-tourisme.com/offres/restaurant-le-moutardier-du-pape-et-bar-a-vins-avignon-fr-4143175/,,"15, place du Palais des Papes, 84000 Avignon","Face au Palais des Papes, en terrasse sur cette place majestueuse ou à l’intérieur de notre bâtisse du XVIIIe siècle... laissez vous séduire par la cuisine inventive et raffinée de notre chef Jean-Rémi Joli réalisée à partir de produits de saison.","Accessible en fauteuil roulant en autonomie,Chaise bébé,Parking à proximité,Parking,Parking payant,Bar,Terrasse,Climatisation,Animaux acceptés,Accès Internet Wifi,Restauration,Restauration enfants","Carte bancaire/crédit,Titre Restaurant,Espèces,Chèque-Vacances Classic,Union Pay",Toute l'année 2025 - Ouvert tous les jours
L'Epicerie de Ginette,https://avignon-tourisme.com/offres/lepicerie-de-ginette-avignon-fr-4144043/,,"25-27, place des Corps Saints, 84000 Avignon","Ginette et Marcel est devenu l’Épicerie de Ginette. Le concept n'a pas changé et on y va toujours pour manger des tartines à l’ancienne dans le décor vintage d'un bistrot français des années 40/50. Aux beaux jours, on privilégie la terrasse.","Accessible en fauteuil roulant en autonomie,Animations de soirées,Parking à proximité,Parking,Parking payant,Terrasse ombragée,Terrasse,Salle de réception,Climatisation,Animaux acceptés,Restauration,Banquet","Carte bancaire/crédit,Titre Restaurant,Chèque-Vacances Classic",Lundi
