nom,thèmes,langues,adresse,tel,tarifs,note,horaires,image,catégorie_simplifiée
Hôtel des Monnaies,"Patrimoine historique, Hôtel particulier",Fr,"Place du Palais, Avignon, 84000",330490037060,N/D,N/D,Non disponible,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/cf0/250-219-21355514-335x335.webp,Patrimoine Historique
Parc Champfleury,Parc,Fr,"Avenue du Blanchissage, Avignon, 84000",33490808000,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/d4e/163-107-23554979-335x335.webp,Nature & Jardins
Archives Municipales – Musée du Mont de Piété et de la Condition des Soies,"Histoire, Sciences et techniques, Métiers",Fr,"6, rue Saluces, Avignon, 84000",33490865312,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/430/209-26-8526545-335x335.webp,Archéologie & Histoire
Chapelle des Pénitents Gris,"Patrimoine historique, Patrimoine religieux, Chapelle",Fr,"53 rue de la République, Villeneuve-lez-Avignon, 30400",330490254624,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/c2b/239-46-3813103-335x335.webp,Patrimoine Religieux
Parc du Clos de la Murette,Parc,Fr,"rue René Goscinny, Avignon, 84000",33490808000,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/9a9/108-3-9765740-335x335.webp,Nature & Jardins
Parc Municipal Bardi,Parc,Fr,"Avenue Pierre de Coubertin, Vedène, 84270",330490237676,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/2da/146-192-8437906-335x335.webp,Nature & Jardins
Le Lavoir,"Patrimoine historique, Lavoir",Fr,"Place du lavoir, Rochefort-du-Gard, 30650",330490266900,0.0,N/D,Non disponible,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/c3b/188-133-3900860-335x335.webp,Patrimoine Historique
La Fontaine de l’Ange,"Fontaine, Patrimoine historique",Fr,"Place du Comte raymon VI, Rochefort-du-Gard, 30650",330490266900,0.0,N/D,Non disponible,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/686/215-132-3900631-335x335.webp,Patrimoine Historique
Eglise Saint Thomas,"Patrimoine religieux, Eglise",Fr,"Place de l'église, Vedène, 84270",330490237676,0.0,N/D,Non disponible,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/055/124-179-7517052-335x335.webp,Patrimoine Religieux
Eglise paroissiale Saint Symphorien,"Patrimoine religieux, Eglise",Fr,"Place de l'Église, Caumont-sur-Durance, 84510",330490012020,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/5d7/187-160-4759739-335x335.webp,Patrimoine Religieux
Tour des Templiers,"Patrimoine historique, Tour",Fr,"Place de l'église, Entraigues-sur-la-Sorgue, 84320",330490831716,N/D,N/D,Non disponible,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/607/90-148-3904602-335x335.webp,Patrimoine Historique
Jardin de la chapelle Notre-Dame des Sept Douleurs,"Jardin, Jardin botanique",Fr,"Avenue Pierre-Semard, Villeneuve-lez-Avignon, 30400",330490274949,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/815/111-151-8689519-335x335.webp,Nature & Jardins
La Chapelle Saint Joseph,Patrimoine religieux,Fr,"Rue du Grand Pont, Rochefort-du-Gard, 30650",330490266900,0.0,N/D,Non disponible,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/678/155-61-23084443-335x335.webp,Autres
Hôtel Madon de Châteaublanc,"Patrimoine historique, Hôtel particulier",Fr,"13, rue Banasterie, Avignon, 84000",33432743274,N/D,N/D,Non disponible,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/25c/87-103-21260119-335x335.webp,Patrimoine Historique
Les Remparts d’Avignon,,Fr,"Avignon, 84000",33490808000,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/baa/119-199-12896119-335x335.webp,Autres
Hôtel d’Adhémar de Cransac,,Fr,"11 rue de Taulignan, Avignon, 84000",33490861328,N/D,18,D: 14h00-18h00; J: 14h00-18h00; L: 14h00-18h00; M: 14h00-18h00; ME: 14h00-18h00; S: 14h00-18h00; V: 14h00-18h00,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/441/77-230-2352717-335x335.webp,Autres
Collégiale Saint-Didier,"Patrimoine religieux, Collégiale",Fr,"Place Saint Didier, Avignon, 84000",33490821056,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/06e/179-228-2352307-335x335.webp,Patrimoine Religieux
Musée des Curiosités – Église des Célestins,,Fr,"Place des Corps Saints, Avignon, 84000",33490808000,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/942/11-93-27483403-335x335.webp,Autres
Abbaye Saint-Ruf,"Patrimoine religieux, Abbaye",Fr,"avenue Moulin de Notre-Dame, Avignon, 84000",330490037060,N/D,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/f28/107-175-9351019-335x335.webp,Patrimoine Historique
Palais des Papes,"Patrimoine historique, Palais","De, En, Es, Fr, It, Zh, Ja","Place du Palais des Papes, Avignon, 84000",33432743274,12,8.9,D: 09h00-19h00; J: 09h00-19h00; L: 09h00-19h00; M: 09h00-19h00; ME: 09h00-19h00; S: 09h00-19h00; V: 09h00-19h00,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/e76/54-87-10442550-335x335.webp,Patrimoine Historique
Chapelle des Pénitents Blancs,"Patrimoine religieux, Chapelle",Fr,"Place de l'Église, Caumont-sur-Durance, 84510",33490252107,0.0,N/D,Non disponible,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/0ac/219-227-2352091-335x335.webp,Patrimoine Religieux
Jardin des Carmes,Jardin,Fr,"Place des Carmes, Avignon, 84000",33490808000,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/de6/22-235-26536726-335x335.webp,Nature & Jardins
Chapelle de l’Agache,"Patrimoine religieux, Chapelle",Fr,"Place de l'église, Caumont-sur-Durance, 84510",33490252107,0.0,N/D,Non disponible,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/a07/71-186-2341447-335x335.webp,Patrimoine Religieux
Ancienne comédie d’Avignon,"Patrimoine historique, Hôtel particulier",Fr,"9, place Crillon, Avignon, 84000",33432743274,N/D,N/D,Non disponible,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/ffa/116-227-21357428-335x335.webp,Patrimoine Historique
Sanctuaire Notre Dame de Grâce,"Patrimoine religieux, Monastère, Site religieux",Fr,"Route d'Orange, Rochefort-du-Gard, 30650",330490317201,0.0,19,D: 08h00-19h00; J: 08h00-19h00; L: 08h00-19h00; M: 08h00-19h00; ME: 08h00-19h00; S: 08h00-19h00; V: 08h00-19h00,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/8ad/210-142-3575506-335x335.webp,Patrimoine Religieux
Place du Palais,"Patrimoine historique, Place",Fr,"Place du Palais, Avignon, 84000",33432743274,N/D,8.9,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/fdd/217-97-21389785-335x335.webp,Patrimoine Historique
Les Jardins du Palais des papes,"Jardin, Jardin botanique",Fr,"Palais des papes, Avignon, 84000",33432743274,5,8.9,D: 09h00-19h00; J: 09h00-19h00; L: 09h00-19h00; M: 09h00-19h00; ME: 09h00-19h00; S: 09h00-19h00; V: 09h00-19h00,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/643/149-237-10808725-335x335.webp,Nature & Jardins
Eglise Saint-Ruf,"Patrimoine religieux, Eglise",Fr,"boulevard Gambetta, Avignon, 84000",33972196431,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/203/83-145-18583891-335x335.webp,Patrimoine Religieux
Chapelle des Pénitents Noirs,"Patrimoine religieux, Chapelle",Fr,"57 rue Banasterie, Avignon, 84000",33608063673,0.0,14,S: 14h00-17h00,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/e94/166-138-12880550-335x335.webp,Patrimoine Religieux
Collégiale Notre-Dame et son cloître,"Patrimoine historique, Patrimoine religieux, Collégiale",Fr,"Place Meissonnier, Villeneuve-lez-Avignon, 30400",330490274923,0.0,8.9,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/bf1/204-198-19842764-335x335.webp,Patrimoine Religieux
Chapelle de l’Oratoire,"Patrimoine religieux, Chapelle",Fr,"32 rue Joseph Vernet, Avignon, 84000",330490037060,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/48c/69-139-12880709-335x335.webp,Patrimoine Religieux
La Chartreuse – Centre national des écritures du spectacle,"Patrimoine historique, Patrimoine religieux, Chartreuse","En, Fr","58 rue de la République, Villeneuve-lez-Avignon, 30400",33490152424,8,9.4,D: 10h00-13h00; J: 10h00-13h00; M: 10h00-13h00; ME: 10h00-13h00; S: 10h00-13h00; V: 10h00-13h00,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/077/220-180-2012380-335x335.webp,Patrimoine Religieux
Abbaye Saint-André,"Patrimoine religieux, Abbaye","En, Fr","Abbaye Saint-André - Fort Saint-André, Villeneuve-lez-Avignon, 30400",33490255595,9.50,7.9,D: 10h00-13h00; J: 10h00-13h00; M: 10h00-18h00; ME: 10h00-13h00; S: 10h00-13h00; V: 10h00-13h00,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/d2e/217-180-2012377-335x335.webp,Patrimoine Historique
Musée Pierre-de-Luxembourg,Arts et culture,Fr,"3 rue de la République, Villeneuve-lez-Avignon, 30400",330490274966,4.50,8.5,D: 10h00-12h00 et 14h00-17h00; J: 10h00-12h00 et 14h00-17h00; M: 10h00-12h00 et 14h00-17h00; ME: 10h00-12h00; S: 10h00-12h00 et 14h00-17h00; V: 10h00-12h00 et 14h00-17h00,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/f0b/26-21-11343130-335x335.webp,Art & Culture
Fort Saint-André,Patrimoine historique,Fr,"Fort Saint-André Centre des monuments nationaux, Villeneuve-lez-Avignon, 30400",33490254535,7,7.9,D: 10h00-13h00; J: 10h00-13h00; L: 10h00-13h00; M: 10h00-13h00; ME: 10h00-13h00; S: 10h00-13h00; V: 10h00-13h00,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/07d/84-97-19882324-335x335.webp,Autres
Tour Philippe-le-Bel,"Ouvrage d'art, Patrimoine historique, Château fort, Tour","En, Fr","Montée de la Tour, Villeneuve-lez-Avignon, 30400",330432700857,4.50,7.4,D: 10h00-12h00 et 14h00-17h00; J: 10h00-12h00 et 14h00-17h00; M: 10h00-12h00 et 14h00-17h00; ME: 10h00-12h00; S: 10h00-12h00 et 14h00-17h00; V: 10h00-12h00 et 14h00-17h00,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/c3f/169-199-9095081-335x335.webp,Patrimoine Historique
Clocher du couvent des Augustins,"Patrimoine religieux, Clocher",Fr,"20, rue Carreterie, Avignon, 84000",33432743274,0.0,N/D,Non disponible,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/25b/67-236-21359683-335x335.webp,Patrimoine Historique
Les jardins remarquables de l’Abbaye Saint-André,"Jardin, Jardin botanique",Fr,"Abbaye Saint-André - Fort Saint-André, Villeneuve-lez-Avignon, 30400",330490255595,9.50,8.5,D: 10h00-13h00; J: 10h00-13h00; M: 10h00-18h00; ME: 10h00-13h00; S: 10h00-13h00; V: 10h00-13h00,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/a07/85-107-8612693-335x335.webp,Nature & Jardins
Jardin Ceccano,"Jardin, Jardin d'agrément",Fr,"2 bis rue Laboureur, Avignon, 84000",33490851559,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/66b/179-225-26534323-335x335.webp,Nature & Jardins
Roues à Aube des Teinturiers,,Fr,"Rue des Teinturiers, Avignon, 84000",33490808000,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/2e3/171-210-16437931-335x335.webp,Autres
Jardin Verger Urbain V,"Jardin, Verger, Jardin botanique",Fr,"rue Vice-légat, Avignon, 84000",33490808000,0.0,9,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/677/83-72-8931411-335x335.webp,Nature & Jardins
Synagogue d’Avignon,"Patrimoine religieux, Synagogue","En, Fr","2 place Jérusalem, Avignon, 84000",33682145122,N/D,9.5,J: 10h00-12h00; L: 10h00-12h00; M: 10h00-12h00; ME: 10h00-12h00; V: 10h00-12h00,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/500/194-16-2363586-335x335.webp,Patrimoine Religieux
Chapelle Saint-Louis,"Patrimoine religieux, Chapelle",Fr,"Rue du Portail Boquier, Avignon, 84000",33490821787,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/2a1/3-227-2351875-335x335.webp,Patrimoine Religieux
Livrée Ceccano – Bibliothèque municipale,,Fr,"2 bis rue Laboureur, Avignon, 84000",33490851559,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/88e/208-233-2353616-335x335.webp,Autres
Archives Départementales de Vaucluse,Patrimoine historique,Fr,"Palais des papes - Place du Palais des Papes, Avignon, 84000",33490867153,0.0,N/D,Non disponible,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/013/243-224-2351347-335x335.webp,Autres
Château de Fargues,"Patrimoine historique, Château",Fr,"Avenue Pierre de Coubertin, Le Pontet, 84130",330490030920,0.0,18,J: 09h00-18h00; L: 09h00-18h00; M: 09h00-18h00; ME: 09h00-18h00; V: 09h00-18h00,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/737/203-210-23057099-335x335.webp,Patrimoine Historique
Musée Lapidaire,"Sciences et techniques, Archéologie",Fr,"27 rue de la République, Avignon, 84000",33490857538,0.0,N/D,Non disponible,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/65e/174-235-2354094-335x335.webp,Sciences & Techniques
Jardin de l’abbaye Saint-Ruf,Jardin,Fr,"avenue Moulin de Notre-Dame, Avignon, 84000",33490808000,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/244/33-219-26532641-335x335.webp,Nature & Jardins
Place des Corps Saints,"Patrimoine historique, Palais",Fr,"Place des Corps Saints, Avignon, 84000",33432743274,N/D,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/ab0/80-237-21359952-335x335.webp,Patrimoine Historique
Eglise Notre-Dame du Bon Repos,"Patrimoine religieux, Eglise",Fr,"Montfavet, Avignon, 84000",330490037060,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/91b/54-140-12880950-335x335.webp,Patrimoine Religieux
Musée Angladon – Collection Jacques Doucet,"Beaux Arts, Arts et culture, Arts décoratifs",Fr,"5, rue Laboureur, Avignon, 84000",33490822903,8,8.6,D: 13h00-18h00; J: 13h00-18h00; M: 13h00-18h00; ME: 13h00-18h00; S: 13h00-18h00; V: 13h00-18h00,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/ca3/150-49-4600214-335x335.webp,Art & Culture
Le jardin du musée Calvet,Jardin,Fr,"65 rue Joseph Vernet, Avignon, 84000",33490863384,0.0,9.3,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/c5f/54-136-22972470-335x335.webp,Nature & Jardins
Eglise Saint-Symphorien les Carmes,"Patrimoine religieux, Eglise",Fr,"Place des Carmes, Avignon, 84000",33490821056,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/4e9/122-16-2363514-335x335.webp,Patrimoine Religieux
Maison Jean Vilar,Arts et culture,Fr,"8 rue de Mons, Avignon, 84000",33490865964,0.0,18,J: 14h00-18h00; M: 14h00-18h00; ME: 14h00-18h00; S: 14h00-18h00; V: 14h00-18h00,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/0e8/129-108-13790337-335x335.webp,Art & Culture
Tour de l’Horloge,"Patrimoine historique, Tour, Beffroi / Tour de l'horloge",Fr,"Rue Roumpe Quieu, Vedène, 84270",330490237676,0.0,N/D,Non disponible,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/c8b/132-52-3880068-335x335.webp,Patrimoine Historique
L’Eglise paroissiale Saint Bardulphe,"Patrimoine religieux, Eglise",Fr,"Rue de l'église, Rochefort-du-Gard, 30650",330490266900,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/f00/233-132-3900649-335x335.webp,Patrimoine Religieux
L’Espace du Lavoir,"Patrimoine historique, Lavoir",Fr,"Place du Petit Pont, Vedène, 84270",330490237864,0.0,N/D,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/7de/83-211-23057235-335x335.webp,Patrimoine Historique
Les Remparts de Caumont,"Patrimoine historique, Rempart",Fr,"Rue de la Dévalade, Caumont-sur-Durance, 84510",330490012020,0.0,N/D,Non disponible,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/4df/182-233-2353590-335x335.webp,Patrimoine Historique
Museum Requien – Musée d’Histoire Naturelle,"Sciences et techniques, Sciences naturelles",Fr,"67 rue Joseph Vernet, Avignon, 84000",33413605120,0.0,9,Non disponible,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/573/17-20-13440017-335x335.webp,Sciences & Techniques
Collection Lambert,"Beaux Arts, Art moderne / contemporain",Fr,"5 rue Violette, Avignon, 84000",33490165623,12,8.7,,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/e49/234-114-26702570-335x335.webp,Art & Culture
