,"1 Place des Carmes, Avignon, France","1 Place du Palais, Avignon, France","1 Square Dagmar Silhol, Avignon, France","1 rue de l'Hôpital, Avignon, France","1 rue henri fabre, Avignon, France","10 bis, Place de l'Amirande, Avignon, France","10 bis, rue Peyrolerie, Avignon, France","10 chemin de la Barthelasse, Avignon, France","10 place Saint Marc, Avignon, France","101 Rue de la Bonneterie, Avignon, France","11 rue de Taulignan, Avignon, 84000","11, Rue de l'Hôpital, Avignon, France","110 chemin des Bois, Avignon, France","12, place Crillon, Avignon, France","129 rue de la Frache, Avignon, France","13 Chemin du Polygone, Avignon, France","13 Place Jean Jaurès, Avignon, France","13 Place de l'Horloge, Avignon, France","13, rue Banasterie, Avignon, 84000","130, Chemin du Pont Blanc, Avignon, France","14 Place Saint Didier, Avignon, France","15 rue Laurent Bertrand, Avignon, France","15 rue de la République, Avignon, France","162, Chemin des Canotiers, Avignon, France","17 rue Racine, Avignon, France","1715, chemin du Lavarin, Avignon, France","18 Boulevard Limbert, Avignon, France","18ter, Rue Pétramale, Avignon, France","2 Rue Mère Térésa, Avignon, France","2 bis rue Laboureur, Avignon, 84000","2 place Jérusalem, Avignon, 84000","20 boulevard Saint Roch, Avignon, France","20, rue Carreterie, Avignon, 84000","20, rue Saint-Etienne, Avignon, France","203 avenue de la Rétanque, Avignon, France","21, place des Corps Saints, Avignon, France","229 rue Graham Bell, Avignon, France","23, Rue de la Bancasse, Avignon, France","24 Rue de la Bonneterie, Avignon, France","24 place de l'Horloge, Avignon, France","25, allée Antoine Pinay, Avignon, France","25-27, place des Corps Saints, Avignon, France","26, rue des Trois Faucons, Avignon, France","27 rue de la République, Avignon, 84000","276 rue du Jas, Avignon, France","28 rue de la bonneterie, Avignon, France","29 place de la Poste, Avignon, France","29 rue Théodore Aubanel, Avignon, France","2968, Avenue de l'Amandier, Avignon, France","3 place Saint-Marc, Avignon, France","3 rue de la République, Villeneuve-lez-Avignon, 30400","3, Place Saint-Marc, Avignon, France","311 chemin des Petits Rougiers, Avignon, France","32 rue Joseph Vernet, Avignon, 84000","322 avenue de Saint Tronquet, Avignon, France","34, rue des Trois Faucons, Avignon, France","34- 36  Place des Corps Saints, Avignon, France","35 rue notre dame, Avignon, France","361 allée Louis Montagnat, Avignon, France","37 rue Camp de Bataille, Avignon, France","37 rue de la Saraillerie, Avignon, France","3B rue de la Petite Calade, Avignon, France","4 Place Jean Jaurès, Avignon, France","4 Place de l'Amirande, Avignon, France","4 place de l'Amirande, Avignon, France","4, Place de la Principale, Avignon, France","4, place de l'Amirande, Avignon, France","41 – 43 rue Carnot, Avignon, France","43 rue de la république, Avignon, France","450 allée de Cassagne, Avignon, France","49 rue porte de Jonquerettes, Avignon, France","5 Rue Cabassole, Avignon, France","5 place Jean Jaurès, Avignon, France","5 rue Violette, Avignon, France","5 rue Violette, Avignon, 84000","5 rue de la république, Avignon, France","5, rue Laboureur, Avignon, 84000","5, rue de la République, Avignon, France","5, rue du Vieux Moulin, Avignon, France","51 avenue du Mont-Ventoux, Avignon, France","53 rue de la République, Villeneuve-lez-Avignon, 30400","57 rue Banasterie, Avignon, 84000","58 rue de la République, Villeneuve-lez-Avignon, 30400","6, rue Saluces, Avignon, 84000","62 Place des Corps Saints, Avignon, France","62 place du Petit Pont, Avignon, France","641 avenue de Saint Tronquet, Avignon, France","641 avenue de Saint-Tronquet, Avignon, France","65 rue Joseph Vernet, Avignon, 84000","67 rue Joseph Vernet, Avignon, 84000","68, place des Corps Saints, Avignon, France","69 avenue du General de Gaulle, Avignon, France","7 Place Saint-Marc, Avignon, France","7 place du Chapitre, Avignon, France","7, impasse du Pont, Avignon, France","719 route de Carpentras, Avignon, France","72, place des Corps Saints, Avignon, France","74 Place des Corps Saints, Avignon, France","74 rue de la République, Avignon, France","76 rue Daniel Lavorini, Avignon, France","8 impasse du lavoir, Avignon, France","8 rue de Mons, Avignon, 84000","8, RUE MAZAN, Avignon, France","9 rue de la République, Avignon, France","9, place Crillon, Avignon, 84000","Avenue Pierre de Coubertin, Le Pontet, 84130, Avignon, France","Avenue Pierre de Coubertin, Vedène, 84270, Avignon, France","Avenue du Blanchissage, Avignon, 84000","Avignon, 84000","Centre Commercial Buld'Air, Avignon, France","Chemin de la Banastière, Avignon, France","Montfavet, Avignon, 84000","Montée de la Tour, Villeneuve-lez-Avignon, 30400","Palais des papes, Avignon, 84000","Place Meissonnier, Villeneuve-lez-Avignon, 30400","Place Saint Didier, Avignon, 84000","Place de l'Église, Caumont-sur-Durance, 84510, Avignon, France","Place de l'église, Caumont-sur-Durance, 84510, Avignon, France","Place de l'église, Entraigues-sur-la-Sorgue, 84320, Avignon, France","Place de l'église, Vedène, 84270, Avignon, France","Place des Carmes, Avignon, 84000","Place des Corps Saints, Avignon, 84000","Place du Palais, Avignon, 84000","Place du Petit Pont, Vedène, 84270, Avignon, France","RD 6580, Avignon, France","Rue de la Dévalade, Caumont-sur-Durance, 84510, Avignon, France","Rue des Teinturiers, Avignon, 84000","Rue du Portail Boquier, Avignon, 84000","avenue Moulin de Notre-Dame, Avignon, 84000","boulevard Gambetta, Avignon, 84000","rue René Goscinny, Avignon, 84000","rue Vice-légat, Avignon, 84000"
"1 Place des Carmes, Avignon, France",0,454,1824,17335,777,427,455,1105,1921,439,379,17335,3072,800,17350,3116,7472,603,348,6802,598,11015,620,579,645,3131,586,594,3321,682,365,1179,31,698,9632,742,5985,595,440,535,1102,788,663,727,1134,432,17478,7431,3613,1951,2195,1951,5676,780,5975,688,788,8007,7025,2724,558,799,12333,417,417,524,417,246,874,5103,9450,1525,12333,928,928,589,653,589,1543,10130,2195,385,2195,179,761,8188,5753,5753,842,855,798,11385,1951,1982,1728,4722,811,816,2294,10909,10832,497,753,7434,800,4081,8233,1350,571,6960,6529,5272,1567,423,1944,598,12300,12300,10811,7826,62,788,520,8188,5961,12316,588,937,2149,1630,2828,398
"1 Place du Palais, Avignon, France",454,0,1466,17755,728,162,173,692,1537,671,176,17755,3121,404,17770,2809,7916,345,178,7112,546,11291,441,483,263,3221,992,686,3167,607,347,1063,485,294,10045,776,6267,450,429,248,650,821,661,642,1421,435,17898,7878,4025,1568,1827,1568,5954,463,6251,689,821,8338,7427,2308,485,530,12779,164,164,406,164,339,834,5487,9865,1974,12779,805,805,373,609,373,1098,10553,1827,233,1845,292,783,8522,6029,6029,613,637,822,11833,1568,1591,1276,5048,835,844,1936,11186,11103,272,376,7878,404,4500,8563,1271,291,7275,6908,5726,1131,95,1556,546,12748,12748,11087,8162,434,821,83,8522,5511,12764,932,883,2358,1724,3151,141
"1 Square Dagmar Silhol, Avignon, France",1824,1466,0,18418,2104,1613,1610,800,186,2137,1640,18418,2631,1491,18429,1368,8832,1693,1645,7290,1961,11261,1808,1298,1523,4538,2410,2135,4053,1993,1810,2299,1848,1478,10697,2193,6357,1838,1882,1632,1150,2232,2078,2013,2888,1890,18555,8835,5427,197,373,197,6037,1661,6319,2102,2232,8581,8042,1010,1903,1758,14035,1618,1618,1825,1618,1800,2194,6054,10531,3278,14035,2098,2098,1742,2013,1742,745,11270,373,1438,379,1724,2193,8778,6104,6104,1851,1879,2228,13075,197,265,1138,5364,2240,2248,471,11162,11056,1686,1534,8794,1491,5297,8801,2514,1653,7472,7412,6887,638,1555,225,1961,13994,13994,11061,8430,1773,2232,1460,8778,4385,14006,2385,2224,3796,3102,4618,1604
"1 rue de l'Hôpital, Avignon, France",17335,17755,18418,0,17900,17762,17790,18175,18602,17454,17714,0,16300,18134,58,18780,10047,17925,17683,11596,17809,9714,17908,17478,17979,18404,17031,17658,19864,17877,17664,18234,17305,18030,7724,17780,12568,17872,17699,17869,18380,17798,17793,17911,17209,17686,161,10181,15199,18616,18688,18616,12846,18104,12643,17800,17798,10336,10377,19382,17803,18102,9778,17752,17752,17808,17752,17559,17942,12364,7897,16064,9778,18079,18079,17900,17832,17900,18659,7206,18688,17567,18587,17514,17804,10135,12806,12806,18116,18118,17814,9803,18616,18682,18980,13141,17819,17817,18691,9727,9924,17825,18088,10083,18134,13255,10165,18269,17901,11400,11028,12694,18625,17751,18641,17809,9616,9616,9790,10405,17335,17798,17834,10135,22674,9554,17202,17992,17486,17911,16595,17732
"1 rue henri fabre, Avignon, France",777,728,2104,17900,0,567,555,1304,2137,458,571,17900,3807,626,17918,3471,7956,416,590,7543,192,11773,301,1183,583,2494,869,244,2544,121,444,405,793,626,10227,136,6744,281,349,495,1025,149,119,91,925,353,18046,7891,3656,2168,2439,2168,6437,462,6735,102,149,8730,7653,2811,249,376,12523,568,568,324,568,551,106,5769,10040,1868,12523,179,179,371,128,371,1555,10695,2439,912,2480,665,119,8908,6514,6514,309,291,138,11593,2168,2176,1538,5456,146,154,2558,11666,11592,457,576,7918,626,4679,8957,576,463,7698,7198,5609,1627,636,2147,192,12501,12501,11569,8546,821,149,691,8908,5804,12520,699,164,1696,1008,2604,597
"10 bis, Place de l'Amirande, Avignon, France",427,162,1613,17762,567,0,28,826,1675,536,48,17762,3263,372,17778,2963,7896,212,79,7184,384,11378,290,625,218,3058,896,527,3036,446,198,915,458,273,10059,613,6351,292,270,120,707,658,498,483,1278,277,17906,7852,3916,1706,1969,1706,6039,369,6337,526,658,8401,7449,2427,322,414,12698,10,10,244,10,233,673,5521,9877,1906,12698,655,655,227,447,227,1195,10558,1969,358,1992,248,620,8584,6115,6115,484,505,659,11755,1706,1726,1326,5113,672,681,2080,11273,11192,118,325,7858,372,4508,8627,1119,164,7346,6946,5670,1239,68,1692,384,12669,12669,11174,8223,430,658,153,8584,5590,12685,814,725,2199,1562,3009,37
"10 bis, rue Peyrolerie, Avignon, France",455,173,1610,17790,555,28,0,819,1669,547,75,17790,3284,345,17806,2962,7922,187,107,7213,374,11406,270,645,191,3048,916,527,3013,433,208,895,485,248,10087,606,6379,276,272,93,686,651,491,469,1285,280,17934,7878,3931,1700,1964,1700,6067,341,6365,518,651,8430,7478,2415,313,387,12718,38,38,233,38,255,660,5550,9905,1928,12718,636,636,205,436,205,1180,10586,1964,380,1989,275,612,8613,6142,6142,459,481,651,11775,1700,1718,1303,5141,664,672,2076,11301,11220,99,297,7884,345,4536,8656,1101,137,7374,6975,5693,1226,84,1685,374,12689,12689,11202,8252,459,651,150,8613,5571,12705,829,710,2197,1553,3016,65
"10 chemin de la Barthelasse, Avignon, France",1105,692,800,18175,1304,826,819,0,850,1359,858,18175,2942,699,18189,2166,8430,893,867,7297,1161,11394,1008,712,722,3757,1676,1340,3418,1192,1024,1519,1133,678,10452,1393,6406,1037,1090,834,431,1432,1278,1213,2104,1099,18316,8409,4712,881,1146,881,6088,867,6380,1302,1432,8558,7810,1620,1104,965,13428,832,832,1027,832,1031,1395,5839,10278,2622,13428,1305,1305,942,1213,942,488,10989,1146,732,1178,973,1393,8748,6159,6159,1060,1088,1427,12477,881,900,831,5282,1439,1448,1260,11291,11197,890,738,8392,699,4949,8781,1737,853,7470,7240,6334,480,773,866,1161,13393,13393,11191,8393,1065,1432,672,8748,4881,13408,1625,1427,2995,2305,3835,821
"10 place Saint Marc, Avignon, France",1921,1537,186,18602,2137,1675,1669,850,0,2208,1706,18602,2802,1514,18613,1370,9003,1734,1715,7475,2005,11440,1847,1420,1563,4533,2505,2188,3978,2030,1874,2301,1947,1514,10881,2234,6541,1880,1939,1681,1145,2271,2121,2047,2954,1949,18739,9004,5533,31,303,31,6221,1683,6503,2144,2271,8767,8225,849,1950,1778,14175,1681,1681,1874,1681,1876,2222,6237,10714,3400,14175,2115,2115,1784,2054,1784,679,11451,303,1535,373,1808,2232,8964,6288,6288,1868,1895,2266,13217,31,80,1034,5550,2277,2285,427,11341,11234,1738,1561,8966,1514,5472,8986,2513,1698,7657,7597,7036,575,1621,39,2005,14135,14135,11240,8616,1873,2271,1522,8964,4217,14148,2467,2246,3833,3122,4685,1670
"101 Rue de la Bonneterie, Avignon, France",439,671,2137,17454,458,536,547,1359,2208,0,501,17454,3506,825,17471,3471,7527,560,493,7097,359,11336,493,987,701,2692,431,216,2954,422,339,847,439,761,9775,366,6308,451,301,564,1215,403,342,456,752,289,17600,7468,3389,2239,2498,2239,6003,717,6302,355,403,8278,7196,2962,368,680,12202,529,529,406,529,339,527,5311,9589,1458,12202,637,637,516,377,516,1724,10248,2498,743,2516,435,390,8455,6081,6081,670,668,417,11264,2239,2260,1810,5008,428,431,2607,11229,11157,502,766,7489,825,4225,8504,979,568,7250,6740,5223,1772,586,2226,359,12176,12176,11131,8092,499,403,688,8455,6092,12193,295,588,1728,1191,2480,538
"11 rue de Taulignan, Avignon, 84000",379,176,1640,17714,571,48,75,858,1706,501,0,17714,3246,421,17730,2985,7847,246,32,7144,383,11341,309,612,266,3056,852,510,3061,452,170,932,409,322,10011,606,6314,305,253,161,753,653,494,491,1249,259,17858,7803,3875,1737,1998,1737,6002,411,6300,522,653,8359,7403,2465,322,449,12652,38,38,248,38,187,678,5475,9829,1858,12652,671,671,252,447,252,1237,10510,1998,342,2019,200,615,8542,6078,6078,514,534,655,11709,1737,1758,1373,5071,668,676,2108,11236,11155,142,373,7809,421,4460,8586,1132,202,7305,6901,5622,1279,85,1724,383,12623,12623,11137,8181,384,653,188,8542,5636,12639,774,732,2181,1556,2979,36
"11, Rue de l'Hôpital, Avignon, France",17335,17755,18418,0,17900,17762,17790,18175,18602,17454,17714,0,16300,18134,58,18780,10047,17925,17683,11596,17809,9714,17908,17478,17979,18404,17031,17658,19864,17877,17664,18234,17305,18030,7724,17780,12568,17872,17699,17869,18380,17798,17793,17911,17209,17686,161,10181,15199,18616,18688,18616,12846,18104,12643,17800,17798,10336,10377,19382,17803,18102,9778,17752,17752,17808,17752,17559,17942,12364,7897,16064,9778,18079,18079,17900,17832,17900,18659,7206,18688,17567,18587,17514,17804,10135,12806,12806,18116,18118,17814,9803,18616,18682,18980,13141,17819,17817,18691,9727,9924,17825,18088,10083,18134,13255,10165,18269,17901,11400,11028,12694,18625,17751,18641,17809,9616,9616,9790,10405,17335,17798,17834,10135,22674,9554,17202,17992,17486,17911,16595,17732
"110 chemin des Bois, Avignon, France",3072,3121,2631,16300,3807,3263,3284,2942,2802,3506,3246,16300,0,3452,16306,2503,7314,3466,3223,4849,3615,8659,3553,2639,3361,6183,3431,3663,6281,3692,3363,4179,3068,3363,8673,3803,3877,3552,3458,3368,3360,3851,3708,3734,4073,3456,16429,7396,5622,2799,2733,2799,3565,3569,3825,3736,3851,6161,6062,3352,3559,3648,13161,3259,3259,3492,3259,3263,3912,4152,8531,3607,13161,3918,3918,3489,3678,3489,3249,9322,2733,2905,2605,3145,3820,6364,3622,3622,3734,3758,3858,12181,2799,2867,3675,3186,3872,3878,2680,8562,8450,3381,3453,7279,3452,3901,6371,4378,3412,5041,5314,6072,3158,3200,2838,3615,13089,13089,8461,6035,3016,3851,3187,6364,6417,13090,3552,3971,5111,4696,5466,3228
"12, place Crillon, Avignon, France",800,404,1491,18134,626,372,345,699,1514,825,421,18134,3452,0,18150,2860,8267,265,452,7515,523,11690,358,849,155,3058,1232,725,2830,527,510,824,831,109,10430,735,6669,397,523,278,405,767,628,538,1506,536,18278,8222,4207,1545,1817,1545,6354,169,6651,648,767,8742,7817,2190,481,266,13027,383,383,422,383,592,707,5884,10248,2256,13027,607,607,312,560,312,935,10930,1817,632,1863,620,729,8926,6429,6429,361,388,760,12088,1545,1550,985,5452,770,778,1937,11586,11502,334,58,8229,0,4880,8968,1042,260,7679,7307,6025,1002,385,1523,523,13000,13000,11487,8566,800,767,321,8926,5266,13017,1120,733,2321,1611,3219,402
"129 rue de la Frache, Avignon, France",17350,17770,18429,58,17918,17778,17806,18189,18613,17471,17730,58,16306,18150,0,18787,10069,17941,17698,11597,17825,9693,17925,17491,17995,18429,17049,17675,19886,17894,17680,18252,17320,18045,7737,17797,12570,17889,17715,17885,18395,17816,17810,17928,17229,17702,129,10205,15224,18627,18698,18627,12848,18121,12644,17818,17816,10334,10389,19392,17819,18118,9829,17768,17768,17824,17768,17575,17959,12375,7911,16082,9829,18096,18096,17916,17849,17916,18672,7223,18698,17582,18596,17530,17821,10133,12808,12808,18132,18134,17832,9850,18627,18693,18994,13148,17836,17835,18701,9707,9905,17841,18104,10106,18150,13270,10163,18288,17917,11400,11037,12719,18638,17767,18652,17825,9666,9666,9771,10405,17350,17816,17849,10133,22682,9605,17220,18010,17508,17932,16620,17748
"13 Chemin du Polygone, Avignon, France",3116,2809,1368,18780,3471,2963,2962,2166,1370,3471,2985,18780,2503,2860,18787,0,9529,3057,2986,7349,3322,11033,3173,2547,2888,5901,3697,3489,5297,3357,3156,3664,3136,2845,11116,3556,6373,3201,3233,2992,2509,3596,3440,3379,4222,3240,18911,9569,6646,1341,1072,1341,6063,3029,6318,3465,3596,8661,8478,1210,3264,3126,15031,2967,2967,3184,2967,3132,3562,6514,10966,4456,15031,3467,3467,3106,3377,3106,2043,11742,1072,2742,1001,3043,3557,8864,6119,6119,3220,3247,3592,14061,1341,1357,2346,5641,3604,3613,945,10940,10815,3044,2902,9492,2860,5991,8870,3878,3015,7542,7764,7846,1942,2901,1372,3322,14979,14979,10839,8537,3059,3596,2812,8864,3914,14987,3698,3592,5158,4471,5941,2949
"13 Place Jean Jaurès, Avignon, France",7472,7916,8832,10047,7956,7896,7922,8430,9003,7527,7847,10047,7314,8267,10069,9529,0,8036,7817,4396,7886,7227,8003,7717,8114,8374,7096,7718,9817,7947,7772,8262,7441,8169,2820,7828,4853,7964,7793,7992,8562,7841,7855,7977,7205,7780,10198,299,5196,9023,9155,9023,4925,8213,4946,7859,7841,4226,2044,9839,7888,8197,6261,7886,7886,7904,7886,7677,7985,3245,2614,6091,6261,8131,8131,8005,7901,8005,8918,2985,9155,7755,9077,7651,7851,4212,4946,4946,8197,8196,7857,5319,9023,9083,9184,4367,7860,7858,9190,7127,7196,7942,8216,37,8267,3548,4327,8277,8019,4308,2779,2693,8904,7896,9040,7886,6149,6149,7073,4047,7483,7841,7989,4212,13215,6135,7257,8032,7438,7881,6564,7870
"13 Place de l'Horloge, Avignon, France",603,345,1693,17925,416,212,187,893,1734,560,246,17925,3466,265,17941,3057,8036,0,277,7389,272,11587,115,826,171,2905,974,466,2827,300,263,719,631,222,10228,500,6560,145,260,97,665,539,386,325,1249,273,18069,7986,3942,1765,2035,1765,6248,179,6546,409,539,8602,7626,2441,221,203,12763,219,219,156,219,366,515,5706,10045,2002,12763,464,464,50,320,50,1188,10719,2035,565,2071,431,500,8784,6324,6324,272,294,535,11824,1765,1777,1249,5315,546,555,2151,11482,11402,106,206,7998,265,4675,8828,929,54,7550,7132,5771,1248,268,1747,272,12736,12736,11384,8423,619,539,288,8784,5532,12754,856,556,2102,1424,2969,250
"13, rue Banasterie, Avignon, 84000",348,178,1645,17683,590,79,107,867,1715,493,32,17683,3223,452,17698,2986,7817,277,0,7112,400,11310,336,592,297,3069,832,515,3088,471,172,957,378,351,9979,618,6282,330,262,194,777,665,508,512,1243,265,17826,7774,3858,1745,2005,1745,5970,444,6268,536,665,8327,7370,2478,340,481,12630,69,69,269,69,168,697,5443,9797,1834,12630,695,695,282,464,282,1255,10478,2005,321,2024,168,629,8509,6046,6046,544,563,668,11686,1745,1768,1399,5039,682,689,2114,11204,11124,173,405,7779,452,4428,8553,1155,235,7273,6868,5596,1295,96,1733,400,12600,12600,11106,8148,351,665,203,8509,5658,12617,760,752,2185,1567,2973,54
"130, Chemin du Pont Blanc, Avignon, France",6802,7112,7290,11596,7543,7184,7213,7297,7475,7097,7144,11596,4849,7515,11597,7349,4396,7389,7112,0,7387,4284,7422,6701,7373,9165,6764,7312,10013,7471,7167,7944,6778,7406,4315,7464,983,7397,7237,7305,7622,7500,7424,7513,7226,7228,11717,4645,6802,7481,7482,7481,1286,7554,1050,7443,7500,1312,2370,8147,7355,7591,10606,7176,7176,7326,7176,7048,7624,2277,4236,6131,10606,7713,7713,7385,7434,7385,7731,5057,7482,6884,7363,6961,7488,1515,1233,1233,7643,7657,7514,9687,7481,7550,8125,2092,7524,7526,7454,4174,4127,7283,7487,4380,7515,3530,1522,8069,7347,196,1637,5260,7666,7147,7514,7387,10483,10483,4081,1200,6775,7500,7195,1515,11260,10463,6947,7686,7990,8021,7638,7148
"14 Place Saint Didier, Avignon, France",598,546,1961,17809,192,384,374,1161,2005,359,383,17809,3615,523,17825,3322,7886,272,400,7387,0,11609,165,992,442,2674,791,204,2726,84,252,583,617,494,10125,234,6579,127,160,330,929,277,118,128,983,166,17954,7828,3692,2036,2305,2036,6271,383,6569,144,277,8582,7539,2711,61,328,12534,384,384,141,384,363,298,5642,9939,1816,12534,330,330,221,64,221,1456,10602,2305,721,2339,476,238,8761,6348,6348,311,310,276,11599,2036,2049,1489,5303,289,298,2421,11503,11427,282,466,7848,523,4572,8809,766,308,7543,7070,5577,1519,452,2018,0,12509,12509,11405,8399,638,277,519,8761,5771,12528,643,355,1835,1178,2698,410
"15 rue Laurent Bertrand, Avignon, France",11015,11291,11261,9714,11773,11378,11406,11394,11440,11336,11341,9714,8659,11690,9693,11033,7227,11587,11310,4284,11609,0,11630,10854,11555,13449,11020,11548,14272,11693,11379,12177,10994,11582,5232,11701,5029,11609,11455,11499,11753,11739,11654,11737,11502,11446,9788,7527,10964,11441,11391,11441,5339,11745,5041,11674,11739,3363,5495,12006,11573,11791,12485,11370,11370,11537,11370,11260,11858,6457,5334,10415,12485,11938,11938,11588,11659,11588,11793,5832,11391,11059,11264,11166,11725,3264,5263,5263,11849,11865,11753,11735,11441,11509,12205,6362,11764,11767,11340,110,237,11482,11667,7233,11690,7744,3167,12313,11542,4161,5292,9069,11716,11335,11478,11609,12326,12326,204,3580,10983,11739,11373,3264,14820,12287,11202,11921,12274,12295,11894,11341
"15 rue de la République, Avignon, France",620,441,1808,17908,301,290,270,1008,1847,493,309,17908,3553,358,17925,3173,8003,115,336,7422,165,11630,0,915,285,2792,919,367,2751,184,256,625,645,333,10217,386,6601,42,210,198,763,424,274,210,1148,223,18053,7949,3854,1879,2148,1879,6290,225,6588,296,424,8627,7622,2546,127,194,12688,294,294,101,294,374,401,5712,10033,1949,12688,365,365,70,207,70,1291,10702,2148,648,2185,463,385,8808,6366,6366,222,235,419,11752,1879,1889,1329,5342,431,440,2266,11524,11445,172,301,7965,358,4663,8853,830,162,7580,7140,5716,1355,355,1859,165,12663,12663,11426,8446,647,424,395,8808,5612,12681,786,445,1988,1309,2863,325
"162, Chemin des Canotiers, Avignon, France",579,483,1298,17478,1183,625,645,712,1420,987,612,17478,2639,849,17491,2547,7717,826,592,6701,992,10854,915,0,734,3650,1150,1083,3650,1064,750,1541,595,747,9757,1204,5839,917,846,729,930,1251,1097,1104,1712,846,17619,7697,4134,1448,1671,1448,5523,940,5819,1125,1251,7942,7121,2257,933,1012,12761,622,622,861,622,672,1290,5159,9581,1981,12761,1280,1280,850,1057,850,1200,10286,1671,271,1656,558,1216,8130,5597,5597,1096,1120,1255,11805,1448,1490,1503,4655,1269,1277,1761,10750,10663,743,836,7679,849,4241,8167,1744,773,6868,6569,5642,1189,561,1449,992,12723,12723,10651,7771,519,1251,552,8130,5575,12736,1167,1344,2715,2145,3404,591
"17 rue Racine, Avignon, France",645,263,1523,17979,583,218,191,722,1563,701,266,17979,3361,155,17995,2888,8114,171,297,7373,442,11555,285,734,0,3063,1094,632,2920,470,372,853,675,60,10274,671,6531,316,402,137,514,709,557,492,1412,414,18123,8069,4090,1594,1864,1594,6217,207,6515,580,709,8596,7663,2277,388,290,12894,228,228,316,228,442,678,5730,10093,2113,12894,610,610,220,491,220,1028,10775,1864,496,1900,465,670,8780,6292,6292,383,410,705,11953,1594,1606,1120,5306,717,725,1980,11450,11367,198,114,8076,155,4724,8822,1069,138,7536,7154,5880,1083,231,1576,442,12866,12866,11351,8419,644,709,183,8780,5396,12883,993,716,2273,1590,3136,246
"1715, chemin du Lavarin, Avignon, France",3131,3221,4538,18404,2494,3058,3048,3757,4533,2692,3056,18404,6183,3058,18429,5901,8374,2905,3069,9165,2674,13449,2792,3650,3063,0,2765,2568,1732,2615,2903,2239,3130,3094,11000,2450,8518,2775,2808,2989,3391,2403,2561,2583,2137,2806,18558,8224,3214,4563,4836,4563,8240,2892,8531,2533,2403,10201,8670,5050,2736,2794,11736,3058,3058,2814,3058,2979,2391,7067,10798,3056,11736,2456,2456,2863,2611,2863,3875,11325,4836,3384,4899,3095,2440,10353,8320,8320,2698,2670,2401,10888,4563,4555,3669,7112,2387,2379,4961,13339,13292,2951,3023,8339,3058,5800,10422,2023,2955,9288,8429,5709,3970,3127,4535,2674,11749,11749,13246,9996,3191,2403,3186,10353,7430,11779,2632,2348,1184,1505,1810,3085
