"3B rue de la Petite Calade, Avignon, France",799,530,1758,18102,376,414,387,965,1778,680,449,18102,3648,266,18118,3126,8197,203,481,7591,328,11791,194,1012,290,2794,1109,528,2637,299,442,567,825,306,10409,499,6763,232,404,294,651,524,407,296,1289,417,18247,8142,4012,1809,2082,1809,6451,97,6749,420,524,8803,7812,2436,311,0,12861,421,421,294,421,556,447,5899,10225,2138,12861,340,340,209,341,209,1181,10896,2082,759,2129,631,489,8984,6527,6527,96,124,514,11927,1809,1813,1171,5516,522,530,2203,11685,11605,309,228,8159,266,4856,9029,785,250,7752,7326,5903,1255,464,1786,328,12837,12837,11587,8623,819,524,461,8984,5448,12855,970,468,2062,1345,2981,452
"4 Place Jean Jaurès, Avignon, France",12333,12779,14035,9778,12523,12698,12718,13428,14175,12202,12652,9778,13161,13027,9829,15031,6261,12763,12630,10606,12534,12485,12688,12761,12894,11736,11802,12333,13461,12566,12522,12690,12303,12955,7257,12387,11114,12646,12503,12757,13405,12378,12459,12580,11610,12490,9933,6059,8901,14202,14400,14202,11182,12914,11207,12451,12378,10170,8237,15018,12561,12861,0,12689,12689,12608,12689,12465,12507,9393,7172,10807,0,12665,12665,12718,12522,12718,13876,6666,14400,12696,14356,12487,12404,10093,11206,11206,12823,12810,12393,979,14202,14248,14012,10527,12390,12384,14468,12408,12536,12697,12968,6284,13027,9265,10203,12610,12768,10496,9025,7186,13899,12725,14206,12534,177,177,12387,10035,12367,12378,12831,10093,18289,234,11907,12531,11309,12009,10212,12685
"4 Place de l'Amirande, Avignon, France",417,164,1618,17752,568,10,38,832,1681,529,38,17752,3259,383,17768,2967,7886,219,69,7176,384,11370,294,622,228,3058,887,523,3042,447,192,919,447,283,10049,612,6343,295,267,129,716,657,498,485,1272,273,17896,7842,3907,1712,1975,1712,6031,378,6329,525,657,8392,7439,2434,322,421,12689,0,0,245,0,224,674,5511,9867,1896,12689,658,658,232,447,232,1204,10547,1975,354,1997,237,619,8575,6106,6106,491,511,658,11745,1712,1732,1336,5104,672,680,2086,11265,11184,122,335,7848,383,4498,8618,1122,172,7337,6936,5660,1247,68,1698,384,12659,12659,11166,8214,420,657,160,8575,5600,12676,806,726,2196,1561,3003,31
"4 place de l'Amirande, Avignon, France",417,164,1618,17752,568,10,38,832,1681,529,38,17752,3259,383,17768,2967,7886,219,69,7176,384,11370,294,622,228,3058,887,523,3042,447,192,919,447,283,10049,612,6343,295,267,129,716,657,498,485,1272,273,17896,7842,3907,1712,1975,1712,6031,378,6329,525,657,8392,7439,2434,322,421,12689,0,0,245,0,224,674,5511,9867,1896,12689,658,658,232,447,232,1204,10547,1975,354,1997,237,619,8575,6106,6106,491,511,658,11745,1712,1732,1336,5104,672,680,2086,11265,11184,122,335,7848,383,4498,8618,1122,172,7337,6936,5660,1247,68,1698,384,12659,12659,11166,8214,420,657,160,8575,5600,12676,806,726,2196,1561,3003,31
"4, Place de la Principale, Avignon, France",524,406,1825,17808,324,244,233,1027,1874,406,248,17808,3492,422,17824,3184,7904,156,269,7326,141,11537,101,861,316,2814,827,316,2827,203,158,690,547,373,10116,374,6508,71,111,193,821,418,258,242,1095,124,17952,7852,3785,1905,2172,1905,6198,313,6496,285,418,8529,7521,2593,80,294,12608,245,245,0,245,277,430,5611,9931,1856,12608,429,429,110,203,110,1342,10601,2172,590,2204,375,379,8710,6274,6274,320,331,418,11670,1905,1919,1404,5246,431,439,2287,11431,11354,141,363,7866,422,4562,8756,885,178,7484,7039,5625,1400,312,1888,141,12582,12582,11333,8348,554,418,377,8710,5688,12600,702,483,1973,1320,2820,273
"4, place de l'Amirande, Avignon, France",417,164,1618,17752,568,10,38,832,1681,529,38,17752,3259,383,17768,2967,7886,219,69,7176,384,11370,294,622,228,3058,887,523,3042,447,192,919,447,283,10049,612,6343,295,267,129,716,657,498,485,1272,273,17896,7842,3907,1712,1975,1712,6031,378,6329,525,657,8392,7439,2434,322,421,12689,0,0,245,0,224,674,5511,9867,1896,12689,658,658,232,447,232,1204,10547,1975,354,1997,237,619,8575,6106,6106,491,511,658,11745,1712,1732,1336,5104,672,680,2086,11265,11184,122,335,7848,383,4498,8618,1122,172,7337,6936,5660,1247,68,1698,384,12659,12659,11166,8214,420,657,160,8575,5600,12676,806,726,2196,1561,3003,31
"41 – 43 rue Carnot, Avignon, France",246,339,1800,17559,551,233,255,1031,1876,339,187,17559,3263,592,17575,3132,7677,366,168,7048,363,11260,374,672,442,2979,664,411,3090,447,119,947,270,501,9861,542,6230,349,202,315,941,589,446,491,1090,197,17703,7630,3690,1906,2164,1906,5921,546,6219,473,589,8253,7259,2645,317,556,12465,224,224,277,224,0,654,5342,9678,1673,12465,690,690,347,423,347,1424,10353,2164,413,2178,118,557,8433,5997,5997,596,608,596,11521,1906,1930,1559,4968,609,616,2271,11154,11076,266,539,7639,592,4308,8479,1127,343,7206,6770,5438,1463,264,1895,363,12435,12435,11056,8072,278,589,372,8433,5824,12452,593,714,2057,1473,2817,221
"43 rue de la république, Avignon, France",874,834,2194,17942,106,673,660,1395,2222,527,678,17942,3912,707,17959,3562,7985,515,697,7624,298,11858,401,1290,678,2391,917,311,2448,227,549,320,889,717,10274,165,6829,384,454,598,1097,144,210,191,897,457,18088,7917,3629,2253,2525,2253,6523,539,6822,186,144,8805,7707,2880,356,447,12507,674,674,430,674,654,0,5833,10087,1894,12507,158,158,472,234,472,1627,10737,2525,1019,2568,769,140,8982,6600,6600,366,342,127,11579,2253,2258,1586,5535,125,128,2644,11751,11678,562,660,7947,707,4731,9032,475,564,7777,7262,5618,1702,741,2231,298,12486,12486,11654,8620,921,144,795,8982,5836,12506,740,63,1615,911,2547,703
"450 allée de Cassagne, Avignon, France",5103,5487,6054,12364,5769,5521,5550,5839,6237,5311,5475,12364,4152,5884,12375,6514,3245,5706,5443,2277,5642,6457,5712,5159,5730,7067,4924,5526,8097,5719,5457,6148,5075,5775,4644,5667,2088,5680,5509,5636,6082,5696,5652,5759,5281,5497,12502,3381,4533,6251,6329,6251,2002,5883,2160,5666,5696,3141,1988,7024,5622,5899,9393,5511,5511,5611,5511,5342,5833,0,4481,4125,9393,5948,5948,5690,5677,5690,6317,5237,6329,5280,6230,5278,5692,3287,2055,2055,5931,5938,5712,8425,6251,6317,6660,1134,5719,5720,6337,6346,6323,5600,5844,3214,5884,1288,3360,6237,5673,2346,1429,3116,6276,5499,6276,5642,9297,9297,6259,2932,5091,5696,5569,3287,10350,9289,5107,5891,5919,6068,5447,5487
"49 rue porte de Jonquerettes, Avignon, France",9450,9865,10531,7897,10040,9877,9905,10278,10714,9589,9829,7897,8531,10248,7911,10966,2614,10045,9797,4236,9939,5334,10033,9581,10093,10798,9171,9796,12129,10010,9785,10387,9420,10142,206,9923,5091,9997,9823,9985,10486,9944,9929,10045,9395,9811,8038,2868,7694,10729,10810,10729,5309,10224,5180,9939,9944,3316,2495,11505,9930,10225,7172,9867,9867,9931,9867,9678,10087,4481,0,8233,7172,10219,10219,10021,9965,10021,10761,823,10810,9674,10712,9629,9947,3179,5291,5291,10243,10246,9960,6401,10729,10795,11084,5344,9965,9964,10819,5253,5373,9943,10203,2641,10248,5369,3272,10436,10018,4062,3219,5240,10728,9864,10753,9939,7017,7017,5226,3255,9448,9944,9944,3179,14828,6982,9346,10140,9782,10130,9002,9846
"5 Rue Cabassole, Avignon, France",1525,1974,3278,16064,1868,1906,1928,2622,3400,1458,1858,16064,3607,2256,16082,4456,6091,2002,1834,6131,1816,10415,1949,1981,2113,3056,1029,1636,3976,1870,1746,2174,1495,2173,8424,1739,5462,1908,1746,1979,2612,1750,1772,1896,1171,1732,16211,6023,2194,3429,3651,3429,5184,2170,5475,1774,1750,7215,5905,4228,1827,2138,10807,1896,1896,1856,1896,1673,1894,4125,8233,0,10807,2041,2041,1964,1823,1964,3069,8864,3651,1890,3629,1683,1761,7377,5263,5263,2126,2121,1766,9859,3429,3469,3232,4062,1769,1767,3736,10305,10253,1922,2200,6053,2256,2929,7439,2206,1997,6261,5536,3769,3091,1926,3428,1816,10775,10775,10212,7016,1559,1750,2031,7377,7486,10790,1174,1940,1871,1945,1880,1889
"5 place Jean Jaurès, Avignon, France",12333,12779,14035,9778,12523,12698,12718,13428,14175,12202,12652,9778,13161,13027,9829,15031,6261,12763,12630,10606,12534,12485,12688,12761,12894,11736,11802,12333,13461,12566,12522,12690,12303,12955,7257,12387,11114,12646,12503,12757,13405,12378,12459,12580,11610,12490,9933,6059,8901,14202,14400,14202,11182,12914,11207,12451,12378,10170,8237,15018,12561,12861,0,12689,12689,12608,12689,12465,12507,9393,7172,10807,0,12665,12665,12718,12522,12718,13876,6666,14400,12696,14356,12487,12404,10093,11206,11206,12823,12810,12393,979,14202,14248,14012,10527,12390,12384,14468,12408,12536,12697,12968,6284,13027,9265,10203,12610,12768,10496,9025,7186,13899,12725,14206,12534,177,177,12387,10035,12367,12378,12831,10093,18289,234,11907,12531,11309,12009,10212,12685
"5 rue Violette, Avignon, France",928,805,2098,18079,179,655,636,1305,2115,637,671,18079,3918,607,18096,3467,8131,464,695,7713,330,11938,365,1280,610,2456,1048,424,2400,245,575,261,947,638,10406,302,6908,365,489,558,978,295,295,201,1055,496,18225,8064,3786,2146,2419,2146,6600,438,6899,282,295,8904,7832,2750,373,340,12665,658,658,429,658,690,158,5948,10219,2041,12665,0,0,432,279,432,1502,10874,2419,1012,2469,798,279,9082,6677,6677,247,219,279,11737,2146,2148,1439,5627,279,284,2541,11832,11756,537,568,8093,607,4859,9130,465,518,7868,7377,5773,1582,720,2122,330,12645,12645,11734,8720,968,295,753,9082,5681,12664,877,144,1737,1007,2691,689
"5 rue Violette, Avignon, 84000",928,805,2098,18079,179,655,636,1305,2115,637,671,18079,3918,607,18096,3467,8131,464,695,7713,330,11938,365,1280,610,2456,1048,424,2400,245,575,261,947,638,10406,302,6908,365,489,558,978,295,295,201,1055,496,18225,8064,3786,2146,2419,2146,6600,438,6899,282,295,8904,7832,2750,373,340,12665,658,658,429,658,690,158,5948,10219,2041,12665,0,0,432,279,432,1502,10874,2419,1012,2469,798,279,9082,6677,6677,247,219,279,11737,2146,2148,1439,5627,279,284,2541,11832,11756,537,568,8093,607,4859,9130,465,518,7868,7377,5773,1582,720,2122,330,12645,12645,11734,8720,968,295,753,9082,5681,12664,877,144,1737,1007,2691,689
"5 rue de la république, Avignon, France",589,373,1742,17900,371,227,205,942,1784,516,252,17900,3489,312,17916,3106,8005,50,282,7385,221,11588,70,850,220,2863,934,416,2809,253,236,690,616,272,10205,451,6559,95,218,127,714,490,336,280,1198,231,18044,7953,3894,1815,2084,1815,6248,208,6546,360,490,8594,7606,2492,171,209,12718,232,232,110,232,347,472,5690,10021,1964,12718,432,432,0,271,0,1239,10694,2084,585,2120,423,451,8776,6324,6324,263,281,486,11780,1815,1827,1294,5308,498,507,2201,11482,11403,110,254,7967,312,4651,8820,898,92,7544,7117,5732,1299,289,1797,221,12692,12692,11384,8414,610,490,324,8776,5577,12710,812,516,2053,1379,2918,263
"5, rue Laboureur, Avignon, 84000",653,609,2013,17832,128,447,436,1213,2054,377,447,17832,3678,560,17849,3377,7901,320,464,7434,64,11659,207,1057,491,2611,805,190,2668,46,315,526,671,540,10151,180,6630,175,221,387,965,219,68,81,952,226,17977,7840,3671,2086,2355,2086,6322,409,6620,89,219,8626,7570,2750,124,341,12522,447,447,203,447,423,234,5677,9965,1823,12522,279,279,271,0,271,1495,10625,2355,786,2391,537,180,8804,6399,6399,305,298,217,11588,2086,2096,1511,5349,229,238,2472,11553,11478,342,504,7863,560,4600,8852,704,361,7590,7106,5579,1560,515,2066,64,12498,12498,11455,8442,696,219,579,8804,5789,12516,648,292,1782,1117,2658,474
"5, rue de la République, Avignon, France",589,373,1742,17900,371,227,205,942,1784,516,252,17900,3489,312,17916,3106,8005,50,282,7385,221,11588,70,850,220,2863,934,416,2809,253,236,690,616,272,10205,451,6559,95,218,127,714,490,336,280,1198,231,18044,7953,3894,1815,2084,1815,6248,208,6546,360,490,8594,7606,2492,171,209,12718,232,232,110,232,347,472,5690,10021,1964,12718,432,432,0,271,0,1239,10694,2084,585,2120,423,451,8776,6324,6324,263,281,486,11780,1815,1827,1294,5308,498,507,2201,11482,11403,110,254,7967,312,4651,8820,898,92,7544,7117,5732,1299,289,1797,221,12692,12692,11384,8414,610,490,324,8776,5577,12710,812,516,2053,1379,2918,263
"5, rue du Vieux Moulin, Avignon, France",1543,1098,745,18659,1555,1195,1180,488,679,1724,1237,18659,3249,935,18672,2043,8918,1188,1255,7731,1456,11793,1291,1200,1028,3875,2087,1655,3308,1462,1386,1660,1573,969,10935,1670,6827,1329,1429,1162,531,1700,1563,1470,2437,1441,18799,8895,5111,706,971,706,6507,1093,6798,1583,1700,9001,8291,1256,1410,1181,13876,1204,1204,1342,1204,1424,1627,6317,10761,3069,13876,1502,1502,1239,1495,1239,0,11475,971,1192,1053,1390,1663,9193,6578,6578,1262,1287,1692,12928,706,686,426,5735,1701,1709,1097,11691,11593,1223,990,8880,935,5437,9224,1866,1165,7906,7713,6803,107,1159,672,1456,13844,13844,11591,8839,1511,1700,1052,9193,4418,13859,2009,1642,3239,2501,4154,1203
"51 avenue du Mont-Ventoux, Avignon, France",10130,10553,11270,7206,10695,10558,10586,10989,11451,10248,10510,7206,9322,10930,7223,11742,2985,10719,10478,5057,10602,5832,10702,10286,10775,11325,9826,10452,12712,10671,10458,11031,10100,10826,757,10575,5915,10666,10492,10663,11182,10593,10587,10705,10017,10479,7351,3189,8171,11467,11556,11467,6131,10899,6004,10595,10593,4104,3265,12252,10596,10896,6666,10547,10547,10601,10547,10353,10737,5237,823,8864,6666,10874,10874,10694,10625,10694,11475,0,11556,10368,11461,10310,10599,3956,6113,6113,10909,10911,10610,5962,11467,11532,11786,6137,10614,10613,11569,5759,5897,10619,10883,3017,10930,6052,4043,11071,10695,4882,4019,5676,11445,10548,11490,10602,6504,6504,5745,4056,10131,10593,10631,3956,15588,6463,9997,10788,10348,10733,9519,10528
"53 rue de la République, Villeneuve-lez-Avignon, 30400",2195,1827,373,18688,2439,1969,1964,1146,303,2498,1998,18688,2733,1817,18698,1072,9155,2035,2005,7482,2305,11391,2148,1671,1864,4836,2781,2486,4247,2331,2167,2604,2220,1815,10973,2535,6535,2180,2235,1979,1448,2572,2421,2349,3247,2244,18824,9164,5801,273,0,273,6216,1986,6493,2444,2572,8781,8317,695,2249,2082,14400,1975,1975,2172,1975,2164,2525,6329,10810,3651,14400,2419,2419,2084,2355,2084,971,11556,0,1809,130,2091,2534,8980,6281,6281,2172,2199,2567,13439,273,284,1292,5597,2578,2587,126,11294,11183,2036,1864,9118,1817,5614,8999,2816,1997,7667,7669,7245,870,1913,300,2305,14357,14357,11193,8636,2145,2572,1815,8980,4061,14369,2752,2550,4135,3426,4978,1962
"57 rue Banasterie, Avignon, 84000",385,233,1438,17567,912,358,380,732,1535,743,342,17567,2905,632,17582,2742,7755,565,321,6884,721,11059,648,271,496,3384,972,818,3392,793,481,1273,411,523,9853,935,6037,647,576,468,813,982,827,833,1486,577,17710,7724,3997,1565,1809,1565,5722,696,6020,855,982,8113,7228,2344,662,759,12696,354,354,590,354,413,1019,5280,9674,1890,12696,1012,1012,585,786,585,1192,10368,1809,0,1811,307,946,8299,5797,5797,838,860,986,11745,1565,1598,1428,4823,999,1007,1909,10954,10871,476,608,7717,632,4316,8339,1475,513,7048,6699,5611,1205,297,1559,721,12662,12662,10856,7939,338,982,313,8299,5608,12676,956,1073,2468,1879,3199,323
"58 rue de la République, Villeneuve-lez-Avignon, 30400",2195,1845,379,18587,2480,1992,1989,1178,373,2516,2019,18587,2605,1863,18596,1001,9077,2071,2024,7363,2339,11264,2185,1656,1900,4899,2782,2514,4347,2369,2189,2663,2219,1854,10874,2571,6414,2215,2261,2010,1508,2610,2456,2389,3267,2269,18722,9090,5790,346,130,346,6096,2033,6372,2480,2610,8664,8218,796,2282,2129,14356,1997,1997,2204,1997,2178,2568,6230,10712,3629,14356,2469,2469,2120,2391,2120,1053,11461,130,1811,0,2100,2571,8863,6160,6160,2222,2249,2605,13393,346,378,1396,5488,2617,2625,113,11167,11055,2065,1908,9040,1863,5533,8881,2876,2031,7549,7565,7193,948,1934,382,2339,14312,14312,11066,8520,2143,2610,1839,8863,4144,14324,2761,2597,4173,3475,4996,1983
"6, rue Saluces, Avignon, 84000",179,292,1724,17514,665,248,275,973,1808,435,200,17514,3145,620,17530,3043,7651,431,168,6961,476,11166,463,558,465,3095,703,528,3199,558,224,1057,210,519,9811,660,6137,445,315,358,932,708,563,601,1180,312,17658,7608,3738,1838,2091,1838,5826,605,6125,590,708,8171,7203,2593,425,631,12487,237,237,375,237,118,769,5278,9629,1683,12487,798,798,423,537,423,1390,10310,2091,307,2100,0,675,8353,5903,5903,683,698,714,11541,1838,1865,1557,4885,727,734,2195,11060,10982,324,573,7613,620,4260,8397,1242,395,7121,6704,5440,1422,247,1829,476,12455,12455,10962,7992,188,708,348,8353,5803,12471,661,829,2162,1589,2900,219
"62 Place des Corps Saints, Avignon, France",761,783,2193,17804,119,620,612,1393,2232,390,615,17804,3820,729,17821,3557,7851,500,629,7488,238,11725,385,1216,670,2440,777,177,2572,202,466,458,773,718,10135,24,6697,356,370,567,1132,39,121,193,806,369,17950,7785,3537,2263,2534,2263,6392,570,6690,94,39,8667,7567,2919,299,489,12404,619,619,379,619,557,140,5692,9947,1761,12404,279,279,451,180,451,1663,10599,2534,946,2571,675,0,8844,6469,6469,427,410,39,11474,2263,2273,1656,5398,53,60,2651,11618,11546,520,676,7814,729,4591,8894,595,541,7640,7121,5496,1732,688,2244,238,12382,12382,11521,8481,812,39,757,8844,5923,12401,601,199,1602,941,2493,645
"62 place du Petit Pont, Avignon, France",8188,8522,8778,10135,8908,8584,8613,8748,8964,8455,8542,10135,6364,8926,10133,8864,4212,8784,8509,1515,8761,3264,8808,8130,8780,10353,8098,8671,11324,8843,8552,9302,8163,8816,3200,8819,2496,8781,8616,8704,9057,8853,8789,8885,8513,8606,10251,4502,7730,8971,8980,8971,2801,8953,2558,8806,8853,204,2290,9650,8734,8984,10093,8575,8575,8710,8575,8433,8982,3287,3179,7377,10093,9082,9082,8776,8804,8776,9193,3956,8980,8299,8863,8353,8844,0,2748,2748,9030,9042,8868,9233,8971,9040,9580,3475,8876,8878,8955,3154,3169,8677,8894,4209,8926,4568,114,9413,8744,1322,2031,5812,9133,8551,9003,8761,9953,9953,3078,362,8165,8853,8605,0,12775,9926,8282,9043,9199,9306,8727,8548
"641 avenue de Saint Tronquet, Avignon, France",5753,6029,6104,12806,6514,6115,6142,6159,6288,6081,6078,12806,3622,6429,12808,6119,4946,6324,6046,1233,6348,5263,6366,5597,6292,8320,5780,6292,9027,6432,6117,6918,5732,6321,5394,6445,255,6346,6193,6235,6505,6484,6395,6475,6293,6184,12929,5149,6270,6292,6281,6292,79,6482,222,6416,6484,2544,3091,6938,6311,6527,11206,6106,6106,6274,6106,5997,6600,2055,5291,5263,11206,6677,6677,6324,6399,6324,6578,6113,6281,5797,6160,5903,6469,2748,0,0,6586,6601,6498,10257,6292,6362,6982,1273,6508,6512,6248,5158,5079,6219,6405,4923,6429,3055,2750,7060,6279,1428,2251,5163,6508,6072,6326,6348,11096,11096,5059,2431,5720,6484,6111,2748,10028,11082,5959,6663,7135,7079,6919,6077
"641 avenue de Saint-Tronquet, Avignon, France",5753,6029,6104,12806,6514,6115,6142,6159,6288,6081,6078,12806,3622,6429,12808,6119,4946,6324,6046,1233,6348,5263,6366,5597,6292,8320,5780,6292,9027,6432,6117,6918,5732,6321,5394,6445,255,6346,6193,6235,6505,6484,6395,6475,6293,6184,12929,5149,6270,6292,6281,6292,79,6482,222,6416,6484,2544,3091,6938,6311,6527,11206,6106,6106,6274,6106,5997,6600,2055,5291,5263,11206,6677,6677,6324,6399,6324,6578,6113,6281,5797,6160,5903,6469,2748,0,0,6586,6601,6498,10257,6292,6362,6982,1273,6508,6512,6248,5158,5079,6219,6405,4923,6429,3055,2750,7060,6279,1428,2251,5163,6508,6072,6326,6348,11096,11096,5059,2431,5720,6484,6111,2748,10028,11082,5959,6663,7135,7079,6919,6077
"65 rue Joseph Vernet, Avignon, 84000",842,613,1851,18116,309,484,459,1060,1868,670,514,18116,3734,361,18132,3220,8197,272,544,7643,311,11849,222,1096,383,2698,1102,496,2554,259,478,471,867,402,10428,441,6821,250,422,369,734,459,365,243,1234,433,18260,8139,3963,1899,2172,1899,6510,194,6808,372,459,8849,7837,2514,313,96,12823,491,491,320,491,596,366,5931,10243,2126,12823,247,247,263,305,263,1262,10909,2172,838,2222,683,427,9030,6586,6586,0,28,447,11890,1899,1902,1229,5564,454,462,2294,11744,11665,371,325,8159,361,4875,9075,688,324,7802,7359,5884,1339,541,1876,311,12800,12800,11646,8668,868,459,548,9030,5496,12819,952,380,1977,1253,2910,522
"67 rue Joseph Vernet, Avignon, 84000",855,637,1879,18118,291,505,481,1088,1895,668,534,18118,3758,388,18134,3247,8196,294,563,7657,310,11865,235,1120,410,2670,1099,488,2532,251,489,443,879,430,10432,425,6836,260,429,392,760,441,354,231,1217,440,18263,8137,3947,1926,2199,1926,6525,222,6824,359,441,8861,7843,2538,317,124,12810,511,511,331,511,608,342,5938,10246,2121,12810,219,219,281,298,281,1287,10911,2199,860,2249,698,410,9042,6601,6601,28,0,429,11878,1926,1928,1248,5577,435,442,2321,11759,11681,391,353,8158,388,4879,9087,660,347,7815,7367,5877,1364,563,1902,310,12788,12788,11661,8680,882,441,573,9042,5512,12806,947,355,1952,1226,2888,542
"68, place des Corps Saints, Avignon, France",798,822,2228,17814,138,659,651,1427,2266,417,655,17814,3858,760,17832,3592,7857,535,668,7514,276,11753,419,1255,705,2401,792,208,2540,235,505,436,809,752,10148,55,6726,391,409,604,1160,16,160,221,789,409,17960,7789,3521,2297,2567,2297,6421,598,6719,133,16,8691,7583,2947,337,514,12393,658,658,418,658,596,127,5712,9960,1766,12393,279,279,486,217,486,1692,10610,2567,986,2605,714,39,8868,6498,6498,447,429,0,11464,2297,2306,1676,5424,13,21,2685,11646,11574,558,707,7819,760,4606,8918,563,577,7666,7140,5494,1761,727,2277,276,12371,12371,11549,8505,849,16,795,8868,5940,12391,614,180,1568,902,2466,684
"69 avenue du General de Gaulle, Avignon, France",11385,11833,13075,9803,11593,11755,11775,12477,13217,11264,11709,9803,12181,12088,9850,14061,5319,11824,11686,9687,11599,11735,11752,11805,11953,10888,10860,11399,12604,11633,11581,11769,11355,12014,6503,11456,10170,11710,11564,11817,12462,11449,11526,11648,10684,11551,9961,5107,7989,13244,13439,13244,10231,11978,10263,11519,11449,9301,7316,14062,11625,11927,979,11745,11745,11670,11745,11521,11579,8425,6401,9859,979,11737,11737,11780,11588,11780,12928,5962,13439,11745,13393,11541,11474,9233,10257,10257,11890,11878,11464,0,13244,13291,13072,9558,11461,11455,13506,11654,11774,11757,12029,5340,12088,8286,9344,11695,11828,9583,8092,6214,12950,11780,13248,11599,918,918,11628,9158,11418,11449,11886,9233,17344,931,10968,11604,10417,11104,9323,11741
"7 Place Saint-Marc, Avignon, France",1951,1568,197,18616,2168,1706,1700,881,31,2239,1737,18616,2799,1545,18627,1341,9023,1765,1745,7481,2036,11441,1879,1448,1594,4563,2535,2219,4002,2061,1905,2331,1977,1545,10895,2265,6546,1911,1971,1712,1175,2302,2152,2078,2985,1980,18753,9024,5563,0,273,0,6226,1713,6507,2175,2302,8774,8239,825,1981,1809,14202,1712,1712,1905,1712,1906,2253,6251,10729,3429,14202,2146,2146,1815,2086,1815,706,11467,273,1565,346,1838,2263,8971,6292,6292,1899,1926,2297,13244,0,69,1056,5560,2308,2316,397,11341,11234,1770,1592,8986,1545,5491,8993,2543,1729,7664,7609,7061,602,1652,41,2036,14162,14162,11241,8623,1903,2302,1553,8971,4195,14174,2498,2277,3864,3153,4716,1701
"7 place du Chapitre, Avignon, France",1982,1591,265,18682,2176,1726,1718,900,80,2260,1758,18682,2867,1550,18693,1357,9083,1777,1768,7550,2049,11509,1889,1490,1606,4555,2564,2234,3968,2070,1925,2327,2009,1556,10961,2276,6615,1922,1988,1727,1172,2312,2163,2086,3004,1997,18819,9083,5595,69,284,69,6295,1718,6577,2186,2312,8843,8305,773,1995,1813,14248,1732,1732,1919,1732,1930,2258,6317,10795,3469,14248,2148,2148,1827,2096,1827,686,11532,284,1598,378,1865,2273,9040,6362,6362,1902,1928,2306,13291,69,0,1017,5628,2317,2325,411,11410,11303,1785,1599,9046,1550,5553,9062,2537,1742,7733,7677,7111,586,1674,43,2049,14209,14209,11309,8693,1936,2312,1572,9040,4138,14222,2523,2281,3872,3154,4735,1722
"7, impasse du Pont, Avignon, France",1728,1276,1138,18980,1538,1326,1303,831,1034,1810,1373,18980,3675,985,18994,2346,9184,1249,1399,8125,1489,12205,1329,1503,1120,3669,2214,1693,2954,1470,1491,1536,1760,1059,11260,1668,7230,1370,1508,1256,625,1688,1578,1466,2460,1521,19122,9150,5182,1056,1292,1056,6910,1105,7202,1591,1688,9389,8625,1381,1456,1171,14012,1336,1336,1404,1336,1559,1586,6660,11084,3232,14012,1439,1439,1294,1511,1294,426,11786,1292,1428,1396,1557,1656,9580,6982,6982,1229,1248,1676,13072,1056,1017,0,6114,1683,1690,1417,12104,12007,1315,1043,9146,985,5737,9612,1717,1244,8299,8065,6996,522,1310,1016,1489,13985,13985,12003,9224,1710,1688,1209,9580,4283,14002,2105,1584,3151,2386,4131,1344
"719 route de Carpentras, Avignon, France",4722,5048,5364,13141,5456,5113,5141,5282,5550,5008,5071,13141,3186,5452,13148,5641,4367,5315,5039,2092,5303,6362,5342,4655,5306,7112,4672,5223,7921,5386,5087,5855,4698,5342,5486,5374,1429,5317,5155,5233,5583,5410,5337,5428,5139,5145,13272,4512,4998,5560,5597,5560,1198,5482,1461,5355,5410,3289,2885,6284,5273,5516,10527,5104,5104,5246,5104,4968,5535,1134,5344,4062,10527,5627,5627,5308,5349,5308,5735,6137,5597,4823,5488,4885,5398,3475,1273,1273,5564,5577,5424,9558,5560,5628,6114,0,5434,5436,5587,6253,6195,5208,5421,4337,5452,1819,3515,5978,5274,2241,2128,4049,5679,5078,5589,5303,10431,10431,6158,3116,4697,5410,5131,3475,9535,10423,4855,5597,5931,5933,5663,5076
